director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,genresres,comb
AdamRobitel,LinShaye,AngusSampson,LeighWhannell,'Horror'  'Mystery'  'Thriller',Insidious: The Last Key,'horror'  'mystery'  'thriller',LinShaye AngusSampson LeighWhannell AdamRobitel 'Horror'  'Mystery'  'Thriller'
LaurenWolkstein,AlexPettyfer,JamesFreedson-Jackson,EmilyAlthaus,'Thriller'  'Drama',The Strange Ones,'thriller'  'drama',AlexPettyfer JamesFreedson-Jackson EmilyAlthaus LaurenWolkstein 'Thriller'  'Drama'
SimonWest,DominicCooper,AustinStowell,GemmaChan,'Action'  'Thriller',Stratton,'action'  'thriller',DominicCooper AustinStowell GemmaChan SimonWest 'Action'  'Thriller'
WarwickThornton,BryanBrown,SamNeill,unknown,'Drama'  'History'  'Western',Sweet Country,'drama'  'history'  'western',BryanBrown SamNeill unknown WarwickThornton 'Drama'  'History'  'Western'
JaumeCollet-Serra,LiamNeeson,VeraFarmiga,PatrickWilson,'Action'  'Thriller',The Commuter,'action'  'thriller',LiamNeeson VeraFarmiga PatrickWilson JaumeCollet-Serra 'Action'  'Thriller'
BabakNajafi,TarajiP.Henson,BillyBrown,DannyGlover,'Thriller'  'Action'  'Crime',Proud Mary,'thriller'  'action'  'crime',TarajiP.Henson BillyBrown DannyGlover BabakNajafi 'Thriller'  'Action'  'Crime'
BrettDonowho,BruceWillis,ColeHauser,ShawnAshmore,'Action',Acts of Violence,'action',BruceWillis ColeHauser ShawnAshmore BrettDonowho 'Action'
TrudieStyler,AlexLawther,AbigailBreslin,BetteMidler,'Comedy'  'Drama',Freak Show,'comedy'  'drama',AlexLawther AbigailBreslin BetteMidler TrudieStyler 'Comedy'  'Drama'
SamHoffman,JemaineClement,ElliottGould,IngridMichaelson,'Comedy',Humor Me,'comedy',JemaineClement ElliottGould IngridMichaelson SamHoffman 'Comedy'
DanielaThomas,AdrianoCarvalho,LuanaNastas,unknown,'Drama',Vazante,'drama',AdrianoCarvalho LuanaNastas unknown DanielaThomas 'Drama'
HiromasaYonebayashi,RubyBarnhill,LouisAshbourneSerkis,KateWinslet,'Fantasy'  'Adventure'  'Animation',Mary and the Witch's Flower,'fantasy'  'adventure'  'animation',RubyBarnhill LouisAshbourneSerkis KateWinslet HiromasaYonebayashi 'Fantasy'  'Adventure'  'Animation'
NicolaiFuglsig,ChrisHemsworth,MichaelShannon,MichaelPeña,'War'  'Drama'  'Action'  'History',12 Strong,'war'  'drama'  'action'  'history',ChrisHemsworth MichaelShannon MichaelPeña NicolaiFuglsig 'War'  'Drama'  'Action'  'History'
ChristianGudegast,GerardButler,50Cent,PabloSchreiber,'Action'  'Thriller'  'Crime',Den of Thieves,'action'  'thriller'  'crime',GerardButler 50Cent PabloSchreiber ChristianGudegast 'Action'  'Thriller'  'Crime'
BethanyAshtonWolf,AlexRoe,JessicaRothe,JohnBenjaminHickey,'Romance'  'Drama'  'Music',Forever My Girl,'romance'  'drama'  'music',AlexRoe JessicaRothe JohnBenjaminHickey BethanyAshtonWolf 'Romance'  'Drama'  'Music'
WesBall,DylanO'Brien,KayaScodelario,ThomasBrodie-Sangster,'Science Fiction'  'Action'  'Adventure'  'Thriller',Maze Runner: The Death Cure,'science fiction'  'action'  'adventure'  'thriller',DylanO'Brien KayaScodelario ThomasBrodie-Sangster WesBall 'Science Fiction'  'Action'  'Adventure'  'Thriller'
ZiadDoueiri,AdelKaram,CamilleSalameh,KamelElBasha,'Comedy'  'Crime',The Insult,'comedy'  'crime',AdelKaram CamilleSalameh KamelElBasha ZiadDoueiri 'Comedy'  'Crime'
BenLewin,DakotaFanning,ToniCollette,AliceEve,'Comedy'  'Drama',Please Stand By,'comedy'  'drama',DakotaFanning ToniCollette AliceEve BenLewin 'Comedy'  'Drama'
TheSpierigBrothers,HelenMirren,JasonClarke,SarahSnook,'Horror'  'Thriller',Winchester,'horror'  'thriller',HelenMirren JasonClarke SarahSnook TheSpierigBrothers 'Horror'  'Thriller'
SebastiánLelio,DanielaVega,FranciscoReyes,unknown,'Drama',A Fantastic Woman,'drama',DanielaVega FranciscoReyes unknown SebastiánLelio 'Drama'
MarioVanPeebles,MarioVanPeebles,WilliamFichtner,RyanGuzman,'Action'  'Horror'  'Thriller',Armed,'action'  'horror'  'thriller',MarioVanPeebles WilliamFichtner RyanGuzman MarioVanPeebles 'Action'  'Horror'  'Thriller'
JuliusOnah,DanielBrühl,ElizabethDebicki,AkselHennie,'Horror'  'Science Fiction'  'Action'  'Thriller',The Cloverfield Paradox,'horror'  'science fiction'  'action'  'thriller',DanielBrühl ElizabethDebicki AkselHennie JuliusOnah 'Horror'  'Science Fiction'  'Action'  'Thriller'
BryanCoyne,BreaGrant,GrahamSkipper,AlyFitzgerald,'Horror',Bad Apples,'horror',BreaGrant GrahamSkipper AlyFitzgerald BryanCoyne 'Horror'
WillGluck,JamesCorden,DomhnallGleeson,RoseByrne,'Family'  'Comedy'  'Adventure'  'Animation'  'Fantasy',Peter Rabbit,'family'  'comedy'  'adventure'  'animation'  'fantasy',JamesCorden DomhnallGleeson RoseByrne WillGluck 'Family'  'Comedy'  'Adventure'  'Animation'  'Fantasy'
JamesFoley,DakotaJohnson,JamieDornan,KimBasinger,'Drama'  'Romance',Fifty Shades Freed,'drama'  'romance',DakotaJohnson JamieDornan KimBasinger JamesFoley 'Drama'  'Romance'
