director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
AdamRobitel,TaylorRussell,LoganMiller,DeborahAnnWoll,horror thriller mystery,Escape Room,TaylorRussell LoganMiller DeborahAnnWoll AdamRobitel horror thriller mystery
JenMcGowan,HermioneCorfield,JayPaulson,SeanO'Bryan,thriller drama,Rust Creek,HermioneCorfield JayPaulson SeanO'Bryan JenMcGowan thriller drama
WilsonConeybeare,DonaldSutherland,VincentKartheiser,OliverDennis,thriller,American Hangman,DonaldSutherland VincentKartheiser OliverDennis WilsonConeybeare thriller
CharlesMartinSmith,BryceDallasHoward,EdwardJamesOlmos,AlexandraShipp,drama adventure family,A Dog's Way Home,BryceDallasHoward EdwardJamesOlmos AlexandraShipp CharlesMartinSmith drama adventure family
NeilBurger,BryanCranston,KevinHart,NicoleKidman,comedy drama,The Upside,BryanCranston KevinHart NicoleKidman NeilBurger comedy drama
JeffreyNachmanoff,KeanuReeves,unknown,unknown,science fiction thriller,Replicas,KeanuReeves unknown unknown JeffreyNachmanoff science fiction thriller
BatánSilva,NataliaDyer,KyraSedgwick,TimDaly,drama family thriller science fiction,After Darkness,NataliaDyer KyraSedgwick TimDaly BatánSilva drama family thriller science fiction
M.NightShyamalan,JamesMcAvoy,BruceWillis,SamuelL.Jackson,thriller drama science fiction,Glass,JamesMcAvoy BruceWillis SamuelL.Jackson M.NightShyamalan thriller drama science fiction
VickyJewson,NoomiRapace,SophieNélisse,IndiraVarma,action thriller,Close,NoomiRapace SophieNélisse IndiraVarma VickyJewson action thriller
HenryDunham,JamesBadgeDale,BrianGeraghty,unknown,drama thriller mystery,The Standoff at Sparrow Creek,JamesBadgeDale BrianGeraghty unknown HenryDunham drama thriller mystery
TimothyWoodwardJr.,LinShaye,MichaelWelch,MelissaBolona,horror,The Final Wish,LinShaye MichaelWelch MelissaBolona TimothyWoodwardJr. horror
JoeCornish,LouisAshbourneSerkis,DeanChaumoo,TomTaylor,action adventure fantasy family,The Kid Who Would Be King,LouisAshbourneSerkis DeanChaumoo TomTaylor JoeCornish action adventure fantasy family
StevenKnight,MatthewMcConaughey,AnneHathaway,JasonClarke,science fiction action adventure thriller,Serenity,MatthewMcConaughey AnneHathaway JasonClarke StevenKnight science fiction action adventure thriller
AndrewPatterson,SierraMcCormick,JamesMontague,CraigW.Sanger(writers);SierraMcCormick,mystery science fiction thriller,The Vast of Night,SierraMcCormick JamesMontague CraigW.Sanger(writers);SierraMcCormick AndrewPatterson mystery science fiction thriller
CatherineHardwicke,GinaRodriguez,IsmaelCruzCórdova,AnthonyMackie,action,Miss Bala,GinaRodriguez IsmaelCruzCórdova AnthonyMackie CatherineHardwicke action
DanGilroy,JakeGyllenhaal,ReneRusso,ToniCollette,thriller mystery horror,Velvet Buzzsaw,JakeGyllenhaal ReneRusso ToniCollette DanGilroy thriller mystery horror
NicolasPesce,ChristopherAbbott,MiaWasikowska,LaiaCosta,thriller horror mystery,Piercing,ChristopherAbbott MiaWasikowska LaiaCosta NicolasPesce thriller horror mystery
MikeMitchell,ChrisPratt,ElizabethBanks,TiffanyHaddish,action adventure animation comedy family,The Lego Movie 2: The Second Part,ChrisPratt ElizabethBanks TiffanyHaddish MikeMitchell action adventure animation comedy family
AdamShankman,TarajiP.Henson,TracyMorgan,MaxGreenfield,comedy romance,What Men Want,TarajiP.Henson TracyMorgan MaxGreenfield AdamShankman comedy romance
HansPetterMoland,LiamNeeson,TomBateman,TomJackson,action crime thriller,Cold Pursuit,LiamNeeson TomBateman TomJackson HansPetterMoland action crime thriller
StevenSoderbergh,AndréHolland,ZazieBeetz,MelvinGregg,drama,High Flying Bird,AndréHolland ZazieBeetz MelvinGregg StevenSoderbergh drama
NicholasMcCarthy,TaylorSchilling,PeterMooney,ColmFeore,horror thriller,The Prodigy,TaylorSchilling PeterMooney ColmFeore NicholasMcCarthy horror thriller
ToddStrauss-Schulson,RebelWilson,LiamHemsworth,AdamDeVine,comedy fantasy romance,Isn't It Romantic,RebelWilson LiamHemsworth AdamDeVine ToddStrauss-Schulson comedy fantasy romance
ChristopherLandon,JessicaRothe,IsraelBroussard,PhiVu,comedy horror science fiction,Happy Death Day 2U,JessicaRothe IsraelBroussard PhiVu ChristopherLandon comedy horror science fiction
RobertRodriguez,RosaSalazar,ChristophWaltz,JenniferConnelly,action science fiction adventure,Alita: Battle Angel,RosaSalazar ChristophWaltz JenniferConnelly RobertRodriguez action science fiction adventure
DeanDeBlois,JayBaruchel,AmericaFerrera,CateBlanchett,animation family adventure,How to Train Your Dragon: The Hidden World,JayBaruchel AmericaFerrera CateBlanchett DeanDeBlois animation family adventure
StephenMerchant,FlorencePugh,LenaHeadey,NickFrost,comedy,Fighting with My Family,FlorencePugh LenaHeadey NickFrost StephenMerchant comedy
TylerPerry,TylerPerry,CourtneyBurrell,PatriceLovely,comedy,Tyler Perry's A Madea Family Funeral,TylerPerry CourtneyBurrell PatriceLovely TylerPerry comedy
NeilJordan,IsabelleHuppert,ChloëGraceMoretz,MaikaMonroe,drama mystery thriller horror,Greta,IsabelleHuppert ChloëGraceMoretz MaikaMonroe NeilJordan drama mystery thriller horror
J.C.Chandor,BenAffleck,OscarIsaac,CharlieHunnam,action thriller crime adventure,Triple Frontier,BenAffleck OscarIsaac CharlieHunnam J.C.Chandor action thriller crime adventure
"AnnaBoden,RyanFleck",BrieLarson,SamuelL.Jackson,BenMendelsohn,action adventure science fiction,Captain Marvel,"BrieLarson SamuelL.Jackson BenMendelsohn AnnaBoden,RyanFleck action adventure science fiction"
VincentD'Onofrio,EthanHawke,DaneDeHaan,JakeSchur,fantasy comedy family,The Kid,EthanHawke DaneDeHaan JakeSchur VincentD'Onofrio fantasy comedy family
RupertWyatt,JohnGoodman,AshtonSanders,JonathanMajors,science fiction,Captive State,JohnGoodman AshtonSanders JonathanMajors RupertWyatt science fiction
KattShea,SophiaLillis,ZoeRenee,MackenzieGraham,crime family comedy mystery,Nancy Drew and the Hidden Staircase,SophiaLillis ZoeRenee MackenzieGraham KattShea crime family comedy mystery
